run_id,phase,task,morphology,controller,training_seed,config_path,resolved_config_digest,output_dir,status,completed_generations,best_fitness,started_from_checkpoint
jumper__biped__static__seed_005,final,Jumper-v0,biped,static,5,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_005/config.yaml,fe7da90b51997cb80cd640a745f5d8b9c8c3f74d53079b2374d144ec903eb8a1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_005,complete,500,0.25472526669536755,False
jumper__biped__static__seed_006,final,Jumper-v0,biped,static,6,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_006/config.yaml,908d5e0947b1e06cc4b56a682b99aa149e7dcfbad3d699e3c844151a7b9e0fc8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_006,complete,500,0.2594361993438027,False
jumper__biped__static__seed_007,final,Jumper-v0,biped,static,7,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_007/config.yaml,704e9cab57822d8db97108fceb2bc5ea665c40eb040480779910087ab1071f08,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_007,complete,500,0.2264515062825756,False
jumper__biped__static__seed_008,final,Jumper-v0,biped,static,8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_008/config.yaml,4d3d3c98b1f56896bd067218a95e7297ef5c50d1653b0b5c8defe61ed350cc3a,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_008,complete,500,0.3278770272319792,False
jumper__biped__static__seed_009,final,Jumper-v0,biped,static,9,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_009/config.yaml,26dc2708932098cfdc86320ad3008f1281a757efda869ffc3b96162a2064b435,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/static/seed_009,complete,500,0.2591625094633476,False
jumper__biped__nchl__seed_000,final,Jumper-v0,biped,nchl,0,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_000/config.yaml,872315b412cee97f007c35ed1fff6f53dfb4a69da57fc5eabde7fd62939bbe6b,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_000,complete,500,0.21540325216178102,False
jumper__biped__nchl__seed_001,final,Jumper-v0,biped,nchl,1,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_001/config.yaml,2d7488e64d9132742d6e7e9a1270351f534764b5c243f88632db05f034f7af03,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_001,complete,500,0.32764962753528304,False
jumper__biped__nchl__seed_002,final,Jumper-v0,biped,nchl,2,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_002/config.yaml,8dfeba175fb7eb5c4af1378c5bb8b090486ea3a9266700a74aa62655d39623f8,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_002,complete,500,0.3112858443326838,False
jumper__biped__nchl__seed_003,final,Jumper-v0,biped,nchl,3,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_003/config.yaml,b7330d259859e51fa161413a9d13b9589759e4bfac05cedcac337b8322db95ce,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_003,complete,500,0.4676965043196111,False
jumper__biped__nchl__seed_004,final,Jumper-v0,biped,nchl,4,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_004/config.yaml,3d170b303eb034a44dff579fb2b38138922d597102744ab15a96df0b98f3621e,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/jumper/biped/nchl/seed_004,complete,500,0.2927271394202045,False
