run_id,task,morphology,training_seed,snapshot,snapshot_fraction,n_analysis_traces,mean_frozen_fitness,median_frozen_fitness,sd_frozen_fitness,min_frozen_fitness,max_frozen_fitness
thrower__biped__nchl__seed_007,Thrower-v0,biped,7,W25,0.25,3,0.8336989853130962,0.8344402394762048,0.01354226268254104,0.8198013191888616,0.8468553972742223
thrower__biped__nchl__seed_007,Thrower-v0,biped,7,W50,0.5,3,0.24381905957731276,0.1432310277386722,0.46170012335848487,-0.15929462161200847,0.7475207726052746
thrower__biped__nchl__seed_007,Thrower-v0,biped,7,W75,0.75,3,0.6586201621642561,0.6219045623230605,0.09740965115595356,0.5849040043956656,0.7690519197740424
thrower__biped__nchl__seed_007,Thrower-v0,biped,7,Wfinal,1.0,3,0.860360124009334,0.8470784539318041,0.039343733180051736,0.8293761365168654,0.9046257815793329
thrower__biped__nchl__seed_008,Thrower-v0,biped,8,W0,0.0,3,0.37589910187344344,0.3865921470268576,0.10808232098615868,0.2628677047842714,0.4782374538092013
thrower__biped__nchl__seed_008,Thrower-v0,biped,8,W25,0.25,3,-0.032886147994775995,0.30483694155808794,0.6639941599202492,-0.7978563913282317,0.3943610057858158
thrower__biped__nchl__seed_008,Thrower-v0,biped,8,W50,0.5,3,0.7117151805981633,0.8068818471016311,0.23695466454360853,0.44197201245511214,0.8862916822377467
thrower__biped__nchl__seed_008,Thrower-v0,biped,8,W75,0.75,3,0.8340353340421304,0.8436646276642825,0.04160316264178441,0.7884618762811191,0.8699794981809893
thrower__biped__nchl__seed_008,Thrower-v0,biped,8,Wfinal,1.0,3,0.7103243280154877,0.8745180838974921,0.5750855823950104,0.07099883004889052,1.1854560701000805
thrower__biped__nchl__seed_009,Thrower-v0,biped,9,W0,0.0,3,0.34657032590090403,0.32543289411957355,0.05531740620801726,0.3049382547970231,0.4093398287861155
thrower__biped__nchl__seed_009,Thrower-v0,biped,9,W25,0.25,3,0.32603126349662087,0.34913763914578244,0.04935577456012774,0.26936085018442807,0.3595953011596521
thrower__biped__nchl__seed_009,Thrower-v0,biped,9,W50,0.5,3,0.280878549588517,0.23499660915206866,0.12561558467436498,0.18465404339086722,0.42298499622261515
thrower__biped__nchl__seed_009,Thrower-v0,biped,9,W75,0.75,3,0.25054500098810234,0.31841883827353024,0.13150453853382824,0.09897177709012903,0.3342443876006477
thrower__biped__nchl__seed_009,Thrower-v0,biped,9,Wfinal,1.0,3,0.348671545707782,0.36527746641165265,0.05964475082302361,0.2824835367774517,0.3982536339342416
thrower__thrower_arm__nchl__seed_000,Thrower-v0,thrower_arm,0,W0,0.0,3,0.3018430549081382,0.35825036168167573,0.12651717798844753,0.15693353991588904,0.3903452631268497
thrower__thrower_arm__nchl__seed_000,Thrower-v0,thrower_arm,0,W25,0.25,3,1.1825260751857185,1.188405181451403,0.04402906226827123,1.1358528347356502,1.2233202093701023
thrower__thrower_arm__nchl__seed_000,Thrower-v0,thrower_arm,0,W50,0.5,3,1.115796342895192,1.146448351043031,0.44854883430294,0.652707681209112,1.5482329964334332
