run_id,source_run,config_digest,genome_sha256,training_seed,task,morphology,analysis_index,source_environment_seed,source_controller_seed,snapshot,snapshot_fraction,snapshot_state,frozen_fitness,episode_length,terminated,truncated,source_plastic_fitness,trace_path
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,0,4709125304908105630,1244304497912131803,W25,0.25,125,3.5415433714656386,500,False,True,5.855291194119783,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,0,4709125304908105630,1244304497912131803,W50,0.5,250,2.527528855158957,500,False,True,5.855291194119783,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,0,4709125304908105630,1244304497912131803,W75,0.75,375,3.5342849498381366,500,False,True,5.855291194119783,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,0,4709125304908105630,1244304497912131803,Wfinal,1.0,500,2.4459166081835892,500,False,True,5.855291194119783,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis00.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,1,6789895730674132307,2935584579999248951,W0,0.0,0,0.014835410105681457,500,False,True,4.798906031539405,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,1,6789895730674132307,2935584579999248951,W25,0.25,125,2.536605953231545,500,False,True,4.798906031539405,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,1,6789895730674132307,2935584579999248951,W50,0.5,250,3.729869722508375,500,False,True,4.798906031539405,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,1,6789895730674132307,2935584579999248951,W75,0.75,375,1.8199744795911161,500,False,True,4.798906031539405,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,1,6789895730674132307,2935584579999248951,Wfinal,1.0,500,2.776189163933587,500,False,True,4.798906031539405,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis01.npz
walker__biped__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/walker/biped/nchl/seed_002,51ddb163f7a437b9dd383beaad7780645de42b5ff0ad7627ea6b5406927801c0,e84198b2b677961f123556d89ee5400ad96dd0bf8d35aa9f967b42fad4e3745d,2,Walker-v0,biped,2,2298876442789069326,7237655472595637189,W0,0.0,0,0.0178219536888628,500,False,True,4.844713662667421,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal_analysis/traces/Walker-v0_biped_nchl_train002_analysis02.npz
