run_id,source_run,config_digest,task,morphology,controller,training_seed,n_heldout_episodes,mean_fitness,median_fitness,std_fitness,min_fitness,max_fitness
thrower__biped__static__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_006,3654bd4877d0e846ff933749c9a90b950a81123c5a74ac12dca5a0eca5c1883a,Thrower-v0,biped,static,6,10,1.8097788056556756,1.8097788056556754,2.220446049250313e-16,1.8097788056556754,1.8097788056556754
thrower__biped__static__seed_007,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_007,2459838292d8d8e81a4bf62bba2f1e681585662bab081477a368695d631a57d9,Thrower-v0,biped,static,7,10,1.814574529492574,1.814574529492574,0.0,1.814574529492574,1.814574529492574
thrower__biped__static__seed_008,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_008,0b8338fd4331b9e7ef63b16e424c3baf6cda56155c67873eac2ff91b97d9d490,Thrower-v0,biped,static,8,10,1.7935032648554539,1.7935032648554543,4.440892098500626e-16,1.7935032648554543,1.7935032648554543
thrower__biped__static__seed_009,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/biped/static/seed_009,fe8905cf5c4889f9a938d0c23a6b01b6882b6df97b9c2d1ade7e1abb81bb3f5c,Thrower-v0,biped,static,9,10,1.7997633898074583,1.7997633898074579,4.440892098500626e-16,1.7997633898074579,1.7997633898074579
thrower__thrower_arm__nchl__seed_000,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_000,fc922ac142f7558d012c1f4fa556dbe2f5f0a6ce1a26bc38380c596e3b55d056,Thrower-v0,thrower_arm,nchl,0,10,2.901980185701245,3.11656255692394,0.5301646206787172,1.6566178546673005,3.3435466176169824
thrower__thrower_arm__nchl__seed_001,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_001,ad8a66363c20bb385a6a9364528f0810583350313bfc874a6ae9af5427f03e68,Thrower-v0,thrower_arm,nchl,1,10,3.1421800172325502,3.123842333996806,0.11939959650992486,2.952852964824822,3.333034952970605
thrower__thrower_arm__nchl__seed_002,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_002,c0fe4c66e1739f91e800330d9e044e63dc94d647b7892238bca5ee91edd392a3,Thrower-v0,thrower_arm,nchl,2,10,0.5508449789643489,1.081950525910216,1.1491194792795703,-1.3743842421859884,2.005162489142983
thrower__thrower_arm__nchl__seed_003,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_003,0d1a38b7c1b7fbd84b87338d3134b3959c99f77cd6ee0dd022a8d860732cf540,Thrower-v0,thrower_arm,nchl,3,10,3.0049232423318606,3.1935080234310265,0.4228842081522095,2.195544078252983,3.3880685803829924
thrower__thrower_arm__nchl__seed_004,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_004,cd4ef82ef3b8c891e536517c06f0ca37ddb49fb9172e181caaa3a445f9fa7729,Thrower-v0,thrower_arm,nchl,4,10,1.8815816044136149,1.9892114030726025,0.40420475680338636,0.7264678369586337,2.168126892620868
thrower__thrower_arm__nchl__seed_005,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_005,497c82087fa58f76676013c55b4ae00785376422cdfe0167fb69b6f2d2c1f4b2,Thrower-v0,thrower_arm,nchl,5,10,0.9671439403807593,0.4420811848602077,1.954008636044386,-1.381128227119802,3.334691761179623
thrower__thrower_arm__nchl__seed_006,/home/rowanli.tangalin/tpr/tpr/results/hpc_rq1/nominal/thrower/thrower_arm/nchl/seed_006,0c31b284048474b449e93dd529ccab657f1c55da1a3e10b8a9791d342fb87094,Thrower-v0,thrower_arm,nchl,6,10,1.370167076128074,1.4121552728961575,0.2564259619124013,0.8791786879824652,1.6549680731757996
