run_id,task,morphology,training_seed,W0_mean_fitness,W25_mean_fitness,W50_mean_fitness,W75_mean_fitness,Wfinal_mean_fitness,delta_W25_from_W0,delta_W50_from_W0,delta_W75_from_W0,delta_Wfinal_from_W0,best_snapshot,best_snapshot_fitness
thrower__thrower_arm__nchl__seed_002,Thrower-v0,thrower_arm,2,0.2922047486319714,1.622088250616202,1.3366231950837035,1.7250791981674212,0.28622817908126913,1.3298835019842306,1.044418446451732,1.4328744495354497,-0.005976569550702249,W75,1.7250791981674212
thrower__thrower_arm__nchl__seed_003,Thrower-v0,thrower_arm,3,0.3243863291110869,0.861549900661999,0.4604239528291641,0.7661615323637334,1.0518700254953675,0.5371635715509121,0.1360376237180772,0.4417752032526465,0.7274836963842806,Wfinal,1.0518700254953675
thrower__thrower_arm__nchl__seed_004,Thrower-v0,thrower_arm,4,0.3827668100114332,0.8071387900526462,0.41679540465793213,0.05668022713526418,1.208280595330694,0.424371980041213,0.03402859464649893,-0.32608658287616904,0.8255137853192609,Wfinal,1.208280595330694
thrower__thrower_arm__nchl__seed_005,Thrower-v0,thrower_arm,5,0.32300863694692233,1.1871877376324944,1.4820860931482798,1.818220727374241,1.9486287393355262,0.8641791006855721,1.1590774562013575,1.4952120904273187,1.6256201023886039,Wfinal,1.9486287393355262
thrower__thrower_arm__nchl__seed_006,Thrower-v0,thrower_arm,6,-0.12181517967173279,1.135419168377899,0.6597230211788917,0.5933210333657826,0.6379780886264551,1.2572343480496317,0.7815382008506245,0.7151362130375154,0.7597932682981879,W25,1.135419168377899
thrower__thrower_arm__nchl__seed_007,Thrower-v0,thrower_arm,7,0.29206091937385276,1.25061655738326,0.8968129491381176,0.8672415036299891,1.1775685833899059,0.9585556380094071,0.6047520297642648,0.5751805842561364,0.8855076640160531,W25,1.25061655738326
thrower__thrower_arm__nchl__seed_008,Thrower-v0,thrower_arm,8,0.41455500298666137,0.9777911592414,1.943679096441776,1.8510539882093724,2.1591084473334803,0.5632361562547387,1.5291240934551147,1.436498985222711,1.744553444346819,Wfinal,2.1591084473334803
thrower__thrower_arm__nchl__seed_009,Thrower-v0,thrower_arm,9,0.3635110770817298,0.8205657679478002,0.6751596538121641,0.8076234657649697,0.8262192417387522,0.4570546908660704,0.31164857673043433,0.4441123886832399,0.46270816465702236,Wfinal,0.8262192417387522
walker__biped__nchl__seed_000,Walker-v0,biped,0,-0.015474997364334664,3.7243256820189465,4.3116634128708275,3.0585346959839987,3.4671493674572873,3.739800679383281,4.327138410235162,3.0740096933483336,3.482624364821622,W50,4.3116634128708275
walker__biped__nchl__seed_001,Walker-v0,biped,1,0.005625376869633825,0.6139223393248331,-1.1832092567503476,-1.2345077485679465,-1.4522247693912809,0.6082969624551993,-1.1888346336199813,-1.2401331254375805,-1.4578501462609146,W25,0.6139223393248331
